TimeStamp,Frequency,feeling_positive,feeling_negative,Class
19,1,1,0,Reader_2_2.csv
19,9,2,7,Reader_2_3.csv
19,3,3,0,Reader_2_4.csv
19,0,0,0,Reader_2_5.csv
19,1,1,0,Reader_2_6.csv
19,0,0,0,Reader_2_7.csv
19,0,0,0,Reader_2_8.csv
19,0,0,0,Reader_2_9.csv
19,68,57,11,reader_3_1.csv
19,60,49,11,Reader_3_2.csv
19,19,13,6,Reader_3_3.csv
19,19,13,6,Reader_3_4.csv
19,11,8,3,Reader_3_5.csv
19,20,16,4,Reader_3_6.csv
19,6,5,1,Reader_3_7.csv
20,34,22,12,Reader_1_1.csv
20,2,2,0,Reader_1_10.csv
20,9,7,2,Reader_1_11.csv
20,1,0,1,Reader_1_12.csv
20,9,7,2,Reader_1_2.csv
20,5,4,1,Reader_1_3.csv
20,1,0,1,Reader_1_4.csv
20,17,13,4,Reader_1_5.csv
20,1,1,0,Reader_1_6.csv
20,1,1,0,Reader_1_7.csv
20,0,0,0,Reader_1_8.csv
20,1,0,1,Reader_1_9.csv
20,11,9,2,Reader_2_1.csv
20,2,1,1,Reader_2_10.csv
20,1,0,1,Reader_2_11.csv
20,8,2,6,Reader_2_12.csv
20,1,1,0,Reader_2_2.csv
20,5,1,4,Reader_2_3.csv
20,3,3,0,Reader_2_4.csv
20,0,0,0,Reader_2_5.csv
20,2,2,0,Reader_2_6.csv
20,0,0,0,Reader_2_7.csv
20,0,0,0,Reader_2_8.csv
20,0,0,0,Reader_2_9.csv
20,64,55,9,reader_3_1.csv
20,54,44,10,Reader_3_2.csv
20,17,11,6,Reader_3_3.csv
20,17,11,6,Reader_3_4.csv
20,12,9,3,Reader_3_5.csv
20,23,20,3,Reader_3_6.csv
20,6,5,1,Reader_3_7.csv
21,36,24,12,Reader_1_1.csv
21,1,1,0,Reader_1_10.csv
21,11,9,2,Reader_1_11.csv
21,1,0,1,Reader_1_12.csv
21,21,18,3,Reader_1_2.csv
21,5,4,1,Reader_1_3.csv
21,1,0,1,Reader_1_4.csv
21,17,13,4,Reader_1_5.csv
21,2,2,0,Reader_1_6.csv
21,2,2,0,Reader_1_7.csv
21,1,1,0,Reader_1_8.csv
21,1,0,1,Reader_1_9.csv
21,11,9,2,Reader_2_1.csv
21,2,1,1,Reader_2_10.csv
21,1,1,0,Reader_2_11.csv
21,9,3,6,Reader_2_12.csv
21,1,1,0,Reader_2_2.csv
21,5,1,4,Reader_2_3.csv
21,4,4,0,Reader_2_4.csv
21,0,0,0,Reader_2_5.csv
21,2,2,0,Reader_2_6.csv
21,0,0,0,Reader_2_7.csv
